Date,Open,High,Low,Close,Volume
2023-01-02,1215.3,1229.15,1214.5,1227.7,5147744
2023-01-03,1222.5,1226.3,1214.3,1218.7,7416276
2023-01-04,1218.7,1220.6,1198.2,1200.35,8971354
2023-01-05,1202.7,1208.85,1193.4,1198.2,13205036
2023-01-06,1204.2,1214.35,1200.2,1209.1,6148424
2023-01-09,1213.1,1240.1,1212.15,1237.6,10383026
2023-01-10,1242.0,1242.0,1213.4,1219.3,7792186
2023-01-11,1216.5,1219.15,1201.55,1204.0,11144898
2023-01-12,1203.35,1207.0,1174.8,1178.0,17128342
2023-01-13,1171.7,1178.6,1160.3,1176.05,19965328
2023-01-16,1178.5,1181.8,1156.7,1164.85,13192212
2023-01-17,1171.5,1183.4,1167.95,1181.4,10410378
2023-01-18,1178.9,1187.25,1172.6,1179.45,13022206
2023-01-19,1178.6,1182.5,1170.85,1178.2,11561758
2023-01-20,1179.6,1179.6,1161.6,1164.2,14457252
2023-01-23,1167.2,1175.4,1155.75,1158.3,10607060
2023-01-24,1162.9,1164.65,1137.8,1151.45,15966344
2023-01-25,1149.8,1150.85,1134.3,1135.5,11992626
2023-01-27,1136.4,1137.8,1101.7,1114.0,25012576
2023-01-30,1111.3,1130.45,1096.65,1124.65,21082300
2023-01-31,1135.25,1137.95,1115.7,1121.85,21972658
2023-02-01,1134.3,1134.3,1098.6,1115.2,18734806
2023-02-02,1104.75,1119.05,1101.4,1109.0,13229790
2023-02-03,1119.5,1119.5,1092.85,1110.0,23917022
2023-02-06,1103.3,1106.2,1098.95,1101.6,14367772
2023-02-07,1101.9,1109.25,1092.85,1099.0,14655902
2023-02-08,1102.4,1124.7,1099.5,1120.95,20489912
2023-02-09,1121.65,1129.95,1112.4,1122.9,12755412
2023-02-10,1122.35,1122.35,1106.3,1113.65,10448574
2023-02-13,1115.35,1120.0,1102.65,1107.3,10024496
2023-02-14,1110.45,1135.2,1107.45,1133.4,13868160
2023-02-15,1132.4,1161.6,1131.0,1159.1,32442100
2023-02-16,1167.4,1174.25,1155.8,1158.15,16717498
2023-02-17,1153.4,1166.5,1148.9,1163.0,11435362
2023-02-20,1165.3,1167.55,1148.65,1150.7,8556958
2023-02-21,1155.3,1166.15,1149.7,1160.1,12889844
2023-02-22,1156.2,1158.15,1131.95,1133.8,10675052
2023-02-23,1133.35,1141.35,1125.4,1128.35,9539774
2023-02-24,1130.5,1142.0,1128.6,1136.1,9135156
2023-02-27,1135.25,1138.9,1120.8,1128.5,10844876
2023-02-28,1122.9,1128.1,1102.7,1106.9,21297204
2023-03-01,1117.15,1117.9,1107.25,1117.1,11185172
2023-03-02,1113.8,1120.8,1106.5,1108.6,9037822
2023-03-03,1119.6,1140.7,1116.0,1136.9,14179850
2023-03-06,1143.85,1155.6,1143.85,1148.0,9849642
2023-03-08,1148.0,1152.9,1136.7,1152.1,15282618
2023-03-09,1151.5,1151.9,1122.45,1124.4,15720752
2023-03-10,1115.95,1117.15,1103.35,1107.0,12911628
2023-03-13,1110.0,1117.15,1084.3,1088.8,12366952
2023-03-14,1086.65,1098.55,1081.4,1084.7,15519724
2023-03-15,1088.6,1095.4,1061.6,1066.2,21040132
2023-03-16,1069.0,1074.25,1049.6,1060.9,17781362
2023-03-17,1069.85,1073.3,1054.6,1059.5,32936546
2023-03-20,1055.7,1058.05,1039.0,1049.1,18905994
2023-03-21,1057.55,1083.8,1056.6,1081.75,20722336
2023-03-22,1089.0,1092.1,1081.9,1085.0,10574114
2023-03-23,1080.9,1081.8,1069.0,1071.3,15734544
2023-03-24,1070.1,1072.35,1047.6,1050.1,11983840
2023-03-27,1056.85,1074.25,1048.6,1066.4,13609042
2023-03-28,1070.0,1075.45,1066.15,1071.4,12177968
2023-03-29,1067.1,1069.9,1053.8,1065.05,18208298
2023-03-31,1074.7,1116.9,1074.6,1111.0,27278656
2023-04-03,1117.6,1119.5,1103.3,1111.2,9966930
2023-04-05,1119.05,1119.05,1100.25,1108.5,15747672
2023-04-06,1104.8,1121.9,1104.8,1115.9,17850972
2023-04-10,1120.0,1120.2,1106.45,1108.0,12550754
2023-04-11,1112.4,1115.7,1107.65,1113.5,10208356
2023-04-12,1113.5,1128.5,1110.5,1118.4,17603122
2023-04-13,1121.45,1127.55,1116.2,1122.6,11986030
2023-04-17,1155.7,1155.7,1119.55,1128.3,17361422
2023-04-18,1132.9,1132.9,1108.6,1115.4,10075898
2023-04-19,1114.8,1123.8,1111.5,1121.0,11884616
2023-04-20,1122.0,1124.3,1111.5,1118.1,6785318
2023-04-21,1120.3,1125.25,1113.5,1119.5,7405028
2023-04-24,1131.9,1134.7,1119.05,1123.8,12526330
2023-04-25,1127.6,1134.6,1120.25,1132.4,8943500
2023-04-26,1133.8,1137.2,1121.95,1125.8,8344796
2023-04-27,1131.9,1136.2,1126.7,1132.9,8876684
2023-04-28,1135.25,1155.2,1135.15,1153.6,15072060
2023-05-02,1161.1,1165.7,1157.2,1163.4,12570504
2023-05-03,1165.3,1165.3,1150.05,1153.4,6838132
2023-05-04,1153.9,1169.0,1150.8,1166.7,8361644
2023-05-05,1163.4,1173.1,1161.0,1163.75,8469468
2023-05-08,1167.7,1183.7,1164.9,1178.1,8863764
2023-05-09,1179.6,1185.2,1174.0,1181.75,6259900
2023-05-10,1186.7,1191.4,1182.55,1189.9,10527790
2023-05-11,1191.0,1196.0,1180.3,1182.1,10223358
2023-05-12,1177.1,1185.5,1170.8,1184.05,6734976
2023-05-15,1186.7,1193.7,1178.7,1186.4,6616844
2023-05-16,1188.65,1191.3,1167.75,1169.5,8441042
2023-05-17,1173.9,1174.8,1157.65,1162.6,8520190
2023-05-18,1167.45,1171.0,1156.8,1160.1,10192052
2023-05-19,1160.1,1165.75,1152.8,1163.8,7795386
2023-05-22,1160.5,1175.3,1159.25,1170.05,7199346
2023-05-23,1172.75,1176.25,1168.35,1169.85,5899022
2023-05-24,1165.7,1174.35,1159.8,1163.0,7855234
2023-05-25,1160.0,1167.2,1151.5,1162.9,11123894
2023-05-26,1171.5,1195.8,1168.0,1194.6,12226224
2023-05-29,1201.5,1205.8,1194.9,1201.3,9693150
2023-05-30,1201.3,1209.5,1198.35,1201.0,10983142
2023-05-31,1191.5,1196.2,1172.9,1177.15,26249070
2023-06-01,1182.05,1184.3,1171.5,1174.0,14130354
2023-06-02,1177.7,1183.3,1168.15,1170.15,15300034
2023-06-05,1175.9,1183.75,1171.7,1180.65,10563064
2023-06-06,1183.6,1185.65,1173.4,1181.65,7255900
2023-06-07,1185.3,1191.5,1178.45,1190.6,9985814
2023-06-08,1194.35,1199.5,1187.2,1191.3,11688662
2023-06-09,1194.8,1195.6,1181.0,1182.9,5690818
2023-06-12,1179.8,1186.35,1174.8,1183.95,6189454
2023-06-13,1189.1,1202.7,1184.95,1201.4,10891648
2023-06-14,1201.5,1217.7,1199.6,1216.2,12856714
2023-06-15,1216.2,1221.3,1208.4,1216.55,11439210
2023-06-16,1220.2,1230.8,1220.2,1228.4,23405754
2023-06-19,1231.5,1231.5,1211.8,1216.2,6583158
2023-06-20,1214.15,1222.0,1208.2,1218.7,6701816
2023-06-21,1218.7,1224.8,1214.4,1222.15,6741040
2023-06-22,1218.2,1226.4,1206.75,1208.4,7377770
2023-06-23,1205.3,1207.4,1197.2,1198.5,6418558
2023-06-26,1194.8,1198.85,1186.1,1189.4,12240650
2023-06-27,1189.85,1196.0,1185.1,1189.8,9382476
2023-06-28,1197.7,1209.55,1190.5,1205.55,10994278
2023-06-30,1213.6,1218.5,1207.45,1215.45,10798242
2023-07-03,1219.2,1249.65,1217.9,1246.65,11769302
2023-07-04,1251.1,1251.1,1226.4,1233.8,7806228
2023-07-05,1243.45,1243.45,1227.6,1231.8,9923374
2023-07-06,1227.75,1260.35,1227.75,1257.6,18512274
2023-07-07,1255.85,1270.1,1252.5,1255.2,12951500
2023-07-10,1281.5,1313.5,1274.9,1303.5,32186876
2023-07-11,1312.0,1320.2,1304.75,1317.65,19433494
2023-07-12,1318.4,1335.4,1316.2,1319.1,18140294
2023-07-13,1326.8,1334.0,1304.6,1307.3,14217736
2023-07-14,1310.65,1315.85,1298.8,1306.2,14644968
2023-07-17,1309.2,1341.65,1300.2,1332.9,21516046
2023-07-18,1342.6,1352.3,1331.15,1344.2,25047762
2023-07-19,1348.8,1361.2,1333.05,1354.4,37882654
2023-07-20,1290.0,1315.5,1290.0,1309.9,38717624
2023-07-21,1304.5,1307.45,1261.8,1269.4,30249238
2023-07-24,1240.5,1257.5,1234.65,1243.7,23727866
2023-07-25,1247.0,1252.6,1240.0,1242.9,12026020
2023-07-26,1242.5,1273.5,1242.5,1263.1,12911012
2023-07-27,1267.0,1268.8,1245.2,1251.35,17226898
2023-07-28,1256.0,1271.4,1250.3,1263.9,20827852
2023-07-31,1263.9,1276.95,1259.0,1274.6,8551174
2023-08-01,1277.5,1279.5,1252.65,1256.6,9536632
2023-08-02,1254.6,1256.0,1231.8,1243.2,12748214
2023-08-03,1237.65,1250.45,1229.0,1237.95,10168350
2023-08-04,1249.4,1258.0,1235.8,1254.8,22885610
2023-08-07,1260.5,1264.2,1252.5,1261.9,5982870
2023-08-08,1264.0,1267.2,1249.8,1254.3,9844072
2023-08-09,1252.4,1264.5,1240.55,1262.6,11486586
2023-08-10,1262.5,1275.0,1254.2,1268.2,15470598
2023-08-11,1266.2,1279.4,1256.2,1273.6,22179330
2023-08-14,1269.5,1291.15,1262.5,1288.6,9575812
2023-08-16,1275.5,1291.4,1275.5,1287.6,10203112
2023-08-17,1283.55,1289.05,1266.4,1269.0,13673744
2023-08-18,1265.6,1288.8,1254.3,1278.4,18639978
2023-08-21,1270.0,1277.7,1257.8,1260.0,9221746
2023-08-22,1258.45,1269.0,1249.5,1259.7,7713044
2023-08-23,1262.1,1271.4,1258.5,1261.1,9517952
2023-08-24,1269.95,1269.95,1235.5,1239.9,14140020
2023-08-25,1228.0,1252.5,1221.3,1234.2,22222400
2023-08-28,1236.0,1242.0,1215.55,1221.9,12580826
2023-08-29,1226.0,1226.7,1204.1,1210.2,16876644
2023-08-30,1216.0,1221.5,1207.5,1209.0,12168946
2023-08-31,1211.5,1212.5,1199.95,1203.5,21638600
2023-09-01,1203.3,1212.8,1200.8,1206.3,18112842
2023-09-04,1206.3,1211.8,1202.65,1205.35,9347626
2023-09-05,1210.0,1217.0,1206.2,1211.8,8675876
2023-09-06,1210.55,1218.1,1208.6,1214.35,8200370
2023-09-07,1210.85,1219.1,1205.5,1216.0,13652572
2023-09-08,1220.0,1228.0,1211.5,1224.1,23109288
2023-09-11,1226.0,1238.4,1226.0,1237.3,13271074
2023-09-12,1241.5,1241.5,1218.0,1219.4,16255666
2023-09-13,1220.0,1231.3,1213.1,1225.5,12803338
2023-09-14,1230.0,1232.9,1222.5,1226.65,9209636
2023-09-15,1234.0,1234.0,1224.75,1228.9,25468592
2023-09-18,1220.0,1225.5,1216.0,1218.2,7516300
2023-09-20,1211.5,1213.8,1177.5,1191.1,57081884
2023-09-21,1187.5,1195.05,1180.0,1182.4,12226182
2023-09-22,1188.0,1191.2,1175.0,1177.5,19176786
2023-09-25,1175.2,1180.35,1167.55,1170.2,14254884
2023-09-26,1169.3,1175.1,1167.8,1171.25,10087782
2023-09-27,1171.75,1185.9,1169.25,1184.45,11722778
2023-09-28,1191.5,1191.5,1162.5,1167.05,14518346
2023-09-29,1170.9,1184.55,1167.05,1172.5,12342014
2023-10-03,1165.0,1167.8,1158.0,1159.1,8859056
2023-10-04,1154.5,1159.5,1147.55,1157.1,10286386
2023-10-05,1159.6,1164.7,1154.5,1157.05,10953682
2023-10-06,1158.5,1162.4,1156.0,1159.0,5431026
2023-10-09,1154.05,1156.0,1147.5,1149.1,7576878
2023-10-10,1153.3,1158.95,1151.9,1154.2,10236032
2023-10-11,1157.2,1174.85,1156.5,1172.5,9814118
2023-10-12,1171.9,1179.7,1169.1,1174.7,12554450
2023-10-13,1170.0,1178.75,1164.6,1174.65,10150316
2023-10-16,1172.5,1177.3,1168.0,1172.0,5929036
2023-10-17,1178.0,1179.85,1170.65,1177.6,7928180
2023-10-18,1177.6,1183.5,1160.5,1162.0,8918320
2023-10-19,1156.0,1160.9,1150.5,1153.1,12032556
2023-10-20,1150.0,1157.35,1148.15,1149.55,8913312
2023-10-23,1145.0,1153.1,1127.6,1131.6,7853962
2023-10-25,1125.0,1140.6,1121.5,1129.0,11620688
2023-10-26,1125.5,1129.0,1110.15,1113.25,15222534
2023-10-27,1120.0,1136.75,1118.0,1132.9,11771084
2023-10-30,1137.0,1162.5,1135.0,1156.25,16813304
2023-10-31,1164.0,1164.0,1141.45,1143.95,12808438
2023-11-01,1144.6,1158.75,1137.6,1148.7,10309190
2023-11-02,1157.0,1162.15,1154.0,1160.1,10562104
2023-11-03,1163.6,1167.5,1157.9,1159.85,8850156
2023-11-06,1166.15,1170.0,1162.8,1169.5,10647304
2023-11-07,1167.0,1169.55,1159.8,1161.9,6960204
2023-11-08,1166.0,1170.5,1160.9,1167.95,7884494
2023-11-09,1167.9,1167.95,1152.1,1155.3,14513610
2023-11-10,1152.8,1158.2,1149.0,1157.45,7734954
2023-11-12,1163.0,1166.0,1161.25,1165.3,1419844
2023-11-13,1161.45,1162.3,1155.85,1157.3,3854810
2023-11-15,1170.0,1181.0,1163.5,1178.2,12220648
2023-11-16,1175.55,1187.1,1173.5,1180.35,13134910
2023-11-17,1176.45,1186.6,1176.0,1177.8,7758634
2023-11-20,1174.3,1179.2,1168.2,1174.7,4490186
2023-11-21,1183.0,1194.0,1180.1,1189.45,8214450
2023-11-22,1187.5,1197.2,1186.1,1194.1,8534814
2023-11-23,1194.1,1200.0,1194.1,1197.75,8531542
2023-11-24,1195.8,1201.3,1195.5,1196.95,6749486
2023-11-28,1196.95,1199.85,1187.6,1197.2,13792174
2023-11-29,1204.0,1206.0,1199.0,1200.35,12531306
2023-11-30,1197.35,1200.35,1184.95,1188.7,28439984
2023-12-01,1189.0,1198.2,1188.8,1197.15,14342842
2023-12-04,1225.0,1225.0,1199.3,1210.1,15590990
2023-12-05,1219.5,1220.4,1210.8,1218.9,12693624
2023-12-06,1223.55,1236.5,1217.5,1230.55,16422442
2023-12-07,1230.0,1230.5,1221.0,1228.5,8142096
2023-12-08,1231.9,1238.35,1222.5,1227.9,10204894
2023-12-11,1228.0,1233.8,1226.2,1229.7,7066138
2023-12-12,1230.0,1232.5,1210.1,1212.0,9197124
2023-12-13,1211.0,1219.2,1203.15,1217.0,10031182
2023-12-14,1227.0,1237.5,1221.3,1232.1,16972354
2023-12-15,1239.0,1250.0,1235.0,1247.8,15932152
2023-12-18,1247.8,1267.45,1245.5,1260.5,14165188
2023-12-19,1277.5,1286.95,1262.6,1279.05,16820604
2023-12-20,1285.5,1299.4,1260.0,1263.6,17736722
2023-12-21,1263.5,1286.75,1259.1,1281.3,13765454
2023-12-22,1279.8,1290.45,1273.8,1282.5,16541784
2023-12-26,1284.0,1296.0,1281.35,1289.0,7465664
2023-12-27,1291.0,1299.95,1286.55,1293.4,9204156
2023-12-28,1294.9,1306.0,1293.4,1302.8,12302636
2023-12-29,1305.55,1307.0,1289.65,1292.5,10864584
2024-01-01,1290.3,1303.4,1286.6,1295.1,4030540
