Symbol,Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,MACDSignal,MACDHist,ATR14,BB_Upper,BB_Lower,BB_BandWidth,DonchianH20,DonchianL20,RVOL20,RS_vs_Index,RS_ROC20,TrendContinuation_Flag,Breakout_Flag,VCP_Flag,SEPA_Flag,MeanReversion_Flag,Pivot,Pivot_R1,Pivot_S1,HL2,ATR_Super,Upper_Band,Lower_Band,Supertrend,BB_MA20,KC_Upper,KC_Lower,Squeeze,AVWAP60,IndexUpRegime,Trend_OK,Minervini_Trend,BB_bw_p20_60,BB_slope20,HL_5,Volume_Dry_Up,Pivot_Break,Donchian_Mid,Pullback_to_Mid,Donchian_Breakout,MR_Flag,BB_Inside_KC,BBKC_Squeeze_Flag,SqueezeBreakout_Flag,AVWAP_Reclaim_Flag,RS_p80_60,RS_Leader_Flag,TS_Momentum,TS_Momentum_Flag,RSI14_Status,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date,CompositeScore
UPL,2025-12-17,751.7,752.8,740.95,746.3,1655654,747.5625026070315,732.8960439211928,682.0435424030314,43.94904458598725,4.3803159576407324,6.175886498371065,-1.7955705407303322,16.049999999999986,765.8715222791335,734.4584777208667,0.0418748469446946,769.55,729.6,0.7171711337117764,,,0,0,0,0,0,746.6833333333334,752.4166666666667,740.5666666666668,746.875,16.049999999999986,795.025,698.725,719.4714285714285,750.1650000000001,,,,,1,0,0,0.055677589429682685,-0.00665038480795421,True,True,True,749.575,True,0,0,False,0,0,0,0.0,0,0.3632295186775045,1,Neutral (30–70),0,0,2025-02-04,2024-12-17,20.97
INDUSINDBK,2025-12-17,838.2,846.1,827.8,833.85,3107473,841.242693252519,821.0132219777513,854.6300158626298,40.100671140939575,6.822793898113559,10.885179835558914,-4.062385937445354,19.364285714285725,867.2364855403832,825.5135144596168,0.0492960816195734,874.4,827.5,0.9257563196935596,,,0,0,0,0,0,835.9166666666666,844.0333333333333,825.7333333333332,836.95,19.364285714285725,895.0428571428572,778.8571428571429,810.2464285714286,846.375,,,,,1,0,0,0.051461328550561264,-0.006214130449969116,True,False,False,850.95,True,0,0,False,0,0,0,0.0,0,-0.16443709604689616,0,Neutral (30–70),0,0,2023-12-27,2024-02-06,27.07
JSWSTEEL,2025-12-17,1088.3,1093.7,1075.6,1079.3,1781774,1126.848148094104,1136.2732072299314,1074.7551959581203,28.839146277980305,-17.521993390065063,-11.51685953488493,-6.005133855180134,27.142857142857128,1190.1383487619494,1072.0316512380507,0.1044189406842975,1185.0,1075.6,0.9112091742684336,,,0,0,0,0,0,1082.8666666666668,1090.1333333333337,1072.0333333333335,1084.65,27.142857142857128,1166.0785714285714,1003.2214285714288,1138.1571428571428,1131.085,,,,,1,0,0,0.06787896182718199,0.00170217090279801,False,False,True,1130.3,True,0,0,False,0,0,0,0.0,0,0.07307615828196456,1,Oversold (≤30),0,0,2024-04-26,2024-01-05,26.64
TITAN,2025-12-17,3930.0,3935.7,3890.0,3907.9,601010,3856.092366187864,3781.831020418456,3586.4339614722267,50.587634133878375,26.82651499181111,27.283639797334487,-0.4571248055233781,62.31428571428569,3952.759603105226,3781.9603968947736,0.0441642893887438,3956.0,3751.0,0.8660071481144413,,,1,0,0,0,0,3911.2,3932.400000000001,3886.7000000000007,3912.85,62.31428571428569,4099.7928571428565,3725.907142857143,3736.471428571428,3867.36,,,,,1,1,0,0.053880743738772226,-0.0010204866941114945,True,False,True,3853.5,False,0,0,False,0,0,0,0.0,0,0.13412174417761014,1,Neutral (30–70),0,0,2025-05-23,2024-10-25,39.8
TECHM,2025-12-17,1578.2,1586.2,1570.3,1579.4,582251,1540.384957225232,1505.3446505938375,1515.7162761993204,72.0812182741117,31.3365941032755,29.87478422577604,1.4618098774994692,23.87857142857144,1619.0694619551232,1458.8505380448769,0.1041085693651857,1595.7,1430.7,0.308663505749282,,,0,0,0,0,0,1578.6333333333332,1586.9666666666665,1571.0666666666664,1578.25,23.87857142857144,1649.8857142857144,1506.6142857142856,1506.6142857142856,1538.96,,,,,1,0,0,0.06324637574327245,0.00205822000563565,True,True,True,1513.2,False,0,0,False,0,0,0,0.0,0,-0.1174564148413052,0,Overbought (≥70),0,0,2025-06-13,2025-08-05,9.02
TCS,2025-12-17,3200.5,3236.9,3200.5,3217.8,1376350,3178.732406443652,3131.085123581848,3304.3344920414283,67.08754208754215,35.4303798768442,36.61949231625106,-1.1891124394068626,45.400000000000055,3262.086591446064,3098.793408553937,0.0513429534567941,3271.6,3115.0,0.4901255207060627,,,0,0,0,0,0,3218.4,3236.3,3199.9,3218.7,45.400000000000055,3354.9,3082.4999999999995,3111.678571428571,3180.44,,,,,1,0,0,0.05650925403198222,-0.00039468280201091014,True,True,False,3193.3,False,0,0,False,0,0,0,0.0,0,-0.27770233111482723,0,Neutral (30–70),0,0,2024-07-05,2025-02-12,14.33
TATASTEEL,2025-12-17,170.09,171.3,169.66,170.34,11624504,169.05315513247064,170.23507713459037,162.59332100557512,54.37970669837496,-1.0138283581442806,-1.8315015974882167,0.8176732393439368,3.072857142857148,173.9915070735417,161.28849292645833,0.0757755556375767,174.36,160.06,0.5448380671001513,,,0,0,0,0,0,170.43333333333337,171.2066666666667,169.56666666666672,170.48000000000002,3.072857142857148,179.69857142857146,161.26142857142858,170.55785714285713,167.64,,,,,1,0,0,0.05323557145189668,-0.0009293007246790601,True,True,True,167.21,False,0,0,False,0,0,0,0.0,0,0.12972542777556706,1,Neutral (30–70),0,0,2025-05-21,2024-11-04,15.93
TATAMOTORS,2025-12-17,346.45,350.0,345.4,346.35,7045390,359.61796137817163,420.90342231038346,593.3187921433239,33.804809052333866,-19.383637461815223,-23.986508915253143,4.602871453437917,5.978571428571428,366.75007581384335,340.10492418615667,0.0753907141568969,365.0,341.4,0.7291131385900085,,,0,0,0,0,0,347.25,349.1,344.5,347.7,5.978571428571428,365.63571428571424,329.76428571428573,364.41785714285714,353.4275,,,,,1,0,0,0.0949609886919816,-0.003848817570045301,True,True,False,353.2,True,0,0,False,0,0,0,0.0,0,-0.5595472753862784,0,Neutral (30–70),0,0,2023-12-29,2024-10-31,21.32
TATACONSUM,2025-12-17,1170.0,1187.9,1170.0,1179.8,1502200,1160.007324082508,1153.1470294887683,1110.779718511743,50.84067253803039,0.0270920129653404,-1.2587167093776734,1.285808722343014,20.90714285714288,1195.2898602547627,1131.160139745237,0.0551309682215613,1194.7,1131.9,1.228618484680423,,,1,0,0,0,0,1179.2333333333331,1188.4666666666667,1170.5666666666666,1178.95,20.90714285714288,1241.6714285714286,1116.2285714285715,1116.2285714285715,1163.225,,,,,1,1,0,0.04661210424850832,0.00047824056433519067,True,False,True,1163.3000000000002,False,0,0,False,0,0,0,0.0,0,0.2806512890094979,1,Neutral (30–70),0,0,2025-04-25,2024-10-29,50.4
SUNPHARMA,2025-12-17,1781.0,1797.6,1771.5,1792.9,1910628,1785.320833088979,1746.0893495161145,1701.1664755446693,45.43067226890759,15.327112447219406,21.25704962937946,-5.929937182160053,27.114285714285725,1827.0905138700523,1765.7494861299476,0.0341462618653237,1849.0,1766.1,0.9600640127092804,,,1,0,0,0,0,1787.3333333333333,1803.1666666666663,1777.0666666666666,1784.55,27.114285714285725,1865.892857142857,1703.2071428571428,1750.8214285714284,1796.42,,,,,1,1,0,0.05208371497163284,-0.0018329261494354093,False,False,True,1807.55,True,0,0,False,0,0,0,0.0,0,-0.006951175607189275,0,Neutral (30–70),0,0,2025-11-18,2025-06-11,42.55
SHREECEM,2025-12-17,25990.0,26185.0,25900.0,26045.0,64316,26436.61463722735,27322.363517595928,28529.94686130769,38.20598006644518,-367.9550810430519,-435.9068705720167,67.95178952896475,482.8571428571428,26889.84306567738,25802.65693432262,0.0412653083970114,26975.0,25645.0,1.8260670820432665,,,0,0,0,0,0,26043.33333333333,26186.666666666664,25901.666666666664,26042.5,482.8571428571428,27491.071428571428,24593.92857142857,27058.214285714286,26346.25,,,,,1,0,0,0.03877129547327482,-0.004647560183319718,True,False,False,26310.0,True,0,0,False,0,0,0,0.0,0,-0.0434742689253087,0,Neutral (30–70),0,0,2025-02-04,2025-11-10,53.39
SBIN,2025-12-17,965.55,978.5,964.3,975.85,8013382,963.1843791084206,939.1956253147954,860.1532048427321,51.39664804469274,5.631857723074063,7.540604124313925,-1.9087464012398616,14.767857142857135,988.6195769009576,947.5104230990422,0.042465282601804,999.0,944.45,0.8307556780928866,,,1,0,0,0,0,972.8833333333332,981.4666666666668,967.2666666666668,971.4,14.767857142857135,1015.7035714285714,927.0964285714284,952.475,968.065,,,,,1,1,0,0.04785695516674794,-0.0025819120862596292,True,False,True,971.725,False,0,0,False,0,0,0,0.0,0,0.14308305025184498,1,Neutral (30–70),0,0,2025-05-16,2025-01-24,38.77
INFY,2025-12-17,1587.2,1606.9,1586.0,1602.0,4817628,1577.4265203504265,1545.3136085915355,1569.476609270277,62.29281767955796,22.131473182995933,22.812970391522168,-0.6814972085262347,24.83571428571432,1630.326655967534,1525.123344032466,0.066680385957672,1631.8,1525.9,0.6216896550660631,,,0,0,0,0,0,1598.3,1610.6,1589.6999999999998,1596.45,24.83571428571432,1670.957142857143,1521.942857142857,1530.614285714286,1577.725,,,,,1,0,0,0.06852040858617968,-9.55760734396946e-05,True,True,True,1578.85,False,0,0,False,0,0,0,0.0,0,-0.1937594363361852,0,Neutral (30–70),0,0,2024-07-12,2025-03-17,18.18
SBILIFE,2025-12-17,2039.4,2048.7,1995.5,2010.2,896027,2005.5716335968573,1960.5038859816093,1814.1853701946256,51.41158989598812,17.645835117207298,19.83792430915399,-2.1920891919466925,36.57142857142852,2053.328127023434,1966.951872976566,0.042970267765861,2086.6,1951.2,1.0861091971100911,,,1,0,0,0,0,2018.1333333333328,2040.7666666666664,1987.5666666666664,2022.1,36.57142857142852,2131.8142857142857,1912.3857142857144,1950.9142857142856,2010.14,,,,,1,1,0,0.04003406921760076,-0.0034117949013582295,False,False,True,2018.9,True,0,0,False,0,0,0,0.0,0,0.4032809773123909,1,Neutral (30–70),0,0,2025-04-29,2024-12-05,46.23
POWERGRID,2025-12-17,260.35,262.75,259.3,261.1,10944698,267.5690884555852,274.1899766043576,286.3319330220004,19.56521739130441,-4.240704446627319,-3.833777017939427,-0.4069274286878923,3.8392857142857184,279.4450500784318,258.00494992156825,0.0797845386802997,279.05,259.3,0.9490827220086276,,,0,0,0,0,0,261.05,262.8,259.35,261.025,3.8392857142857184,272.54285714285714,249.5071428571428,272.54285714285714,268.725,,,,,1,0,0,0.04757972320982118,-0.0030127304602854043,False,False,False,269.175,True,0,0,False,0,0,0,0.0,0,-0.20686512758201692,0,Oversold (≤30),0,0,2023-12-29,2025-01-24,27.75
ONGC,2025-12-17,231.75,233.42,228.61,232.91,5848233,240.41499176708413,243.21923952983224,245.31434672907105,25.583443416996857,-3.5299218020518595,-2.6025328267419923,-0.9273889753098672,3.778571428571425,250.62972903862857,232.11527096137144,0.076704919065996,251.1,228.61,0.75767077574189,,,0,0,0,0,0,231.64666666666665,234.68333333333328,229.8733333333333,231.015,3.778571428571425,242.35071428571428,219.6792857142857,242.35071428571428,241.3725,,,,,1,0,0,0.04769766641793134,0.0014595972202050456,False,True,False,239.85500000000002,True,0,0,False,0,0,0,0.0,0,-0.08321196614839599,0,Oversold (≤30),0,0,2025-11-12,2025-12-03,22.15
NTPC,2025-12-17,320.0,322.4,319.55,321.25,5043027,324.31803459610813,328.5967456556839,337.3165615371989,36.56387665198242,-2.369397525982663,-2.581626303014793,0.2122287770321298,4.189285714285701,329.27426722275266,318.72573277724734,0.0325572050787201,330.0,315.55,0.7136230123015114,,,0,0,0,0,0,321.06666666666666,322.5833333333333,319.7333333333333,320.975,4.189285714285701,333.54285714285714,308.4071428571429,331.0107142857143,324.0,,,,,1,0,0,0.03358509087816208,-0.0028360067744972843,True,True,False,322.775,True,0,0,False,0,0,0,0.0,0,-0.09659730033745784,0,Neutral (30–70),0,0,2024-01-09,2024-12-23,20.87
NIFTY,2025-12-17,25902.4,25929.15,25770.35,25818.55,0,25942.934186477047,25765.13162482116,24990.14747183864,35.572030818432935,23.15121518401793,63.71447187782271,-40.56325669380478,190.17500000000032,26307.67986018808,25727.54013981192,0.0222979635860541,26325.8,25693.25,,,,0,0,0,0,0,25839.35,25908.35000000001,25749.550000000003,25849.75,190.17500000000032,26420.275,25279.225,25641.85357142857,26017.61,,,,,1,0,0,0.02676242670546528,-0.00021165266314539417,True,False,True,26009.525,True,0,0,False,0,0,0,0.0,0,0.05172779006627626,1,Neutral (30–70),0,0,2025-05-07,2025-01-27,0.0
NESTLEIND,2025-12-17,1237.0,1241.4,1224.3,1234.6,526222,1242.7577384241474,1240.5385843216293,1205.7001978669482,35.82887700534755,-7.03931957560485,-5.768208705393302,-1.2711108702115477,18.507142857142885,1292.6450216280132,1203.274978371987,0.0716129068688309,1288.9,1205.0,0.5977764712771724,,,0,0,0,0,0,1233.4333333333332,1242.5666666666664,1225.4666666666662,1232.85,18.507142857142885,1288.3714285714286,1177.3285714285712,1231.9285714285716,1247.96,,,,,1,0,0,0.02559203778691832,0.0024644204418971657,True,True,True,1246.95,True,0,0,False,0,0,0,0.0,0,0.11025179856115108,1,Neutral (30–70),0,0,2025-09-12,2025-08-07,17.48
MARUTI,2025-12-17,16389.0,16490.0,16357.0,16398.0,257406,16160.47135221445,15898.826728241213,14271.50132444375,63.35671883432272,127.0598300239344,93.93059524454112,33.1292347793933,228.28571428571428,16526.892516489108,15717.20748351089,0.0502222132407614,16536.0,15618.0,0.810940319145149,,,0,0,0,0,0,16415.0,16473.0,16340.0,16423.5,228.28571428571428,17108.35714285714,15738.642857142857,15790.07142857143,16122.05,,,,,1,1,0,0.04541788378052536,-0.0018423010696315793,True,False,True,16077.0,False,0,0,False,0,0,0,0.0,0,0.46838118093737124,1,Neutral (30–70),0,0,2025-05-02,2025-04-08,38.19
M&M,2025-12-17,3647.9,3647.9,3594.0,3612.8,1209367,3659.253858016335,3619.878369939329,3316.9955728550267,42.89276807980053,-5.11930876660881,8.7629550970923,-13.88226386370111,64.56428571428572,3768.2696169173832,3589.900383082617,0.0484819551151349,3795.0,3577.9,0.5802045259970529,,,0,0,0,0,0,3618.2333333333336,3642.466666666667,3588.566666666667,3620.95,64.56428571428572,3814.642857142857,3427.2571428571428,3584.942857142857,3679.085,,,,,1,0,0,0.05858870686395413,-0.0020309327732941198,True,True,True,3686.45,True,0,0,False,0,0,0,0.0,0,0.1777861089830317,1,Neutral (30–70),0,0,2025-04-23,2025-04-15,16.96
LT,2025-12-17,4079.0,4079.0,4040.0,4062.4,1087334,4025.298008196596,3945.782879553949,3716.639585640394,47.211566833874286,28.710503936126315,30.03270936344389,-1.3222054273175772,59.35714285714285,4105.970359140916,3962.099640859083,0.035664221624709,4140.0,3949.1,0.7529555506974334,,,1,0,0,0,0,4060.466666666666,4080.933333333333,4041.933333333333,4059.5,59.35714285714285,4237.571428571428,3881.428571428572,3932.9357142857134,4034.035,,,,,1,1,0,0.04960003783393086,-0.0007052126902489699,True,True,True,4044.55,False,0,0,False,0,0,0,0.0,0,0.05246249902847233,1,Neutral (30–70),0,0,2025-06-06,2025-01-28,36.49
KOTAKBANK,2025-12-17,2188.0,2193.2,2163.5,2173.2,1612144,2144.40145402871,2120.587261824216,2057.683194324999,68.02059496567503,18.09589635774637,12.887326288464008,5.208570069282361,33.81428571428575,2202.9249877321145,2066.175012267886,0.0640650139206055,2205.0,2066.7,0.4610704736894345,,,0,0,0,0,0,2176.633333333333,2189.7666666666664,2160.0666666666666,2178.35,33.81428571428575,2279.792857142857,2076.907142857143,2113.678571428571,2134.55,,,,,1,1,0,0.05049438187185138,-0.0009296449182980802,True,True,True,2135.85,False,0,0,False,0,0,0,0.0,0,0.22869904449595735,1,Neutral (30–70),0,0,2025-01-21,2024-11-13,27.96
RELIANCE,2025-12-17,1550.0,1550.0,1539.3,1544.4,7116649,1538.3322069854785,1503.3409424694964,1427.521411538582,40.5378486055777,13.039279757333816,16.96403442066695,-3.924754663333136,20.22857142857145,1571.167884455625,1524.1521155443752,0.0303786160469675,1581.3,1517.6,0.6851254324899124,,,0,0,0,0,0,1544.5666666666668,1549.8333333333337,1539.1333333333337,1544.65,20.22857142857145,1605.3357142857144,1483.9642857142858,1509.4714285714288,1547.66,,,,,1,1,0,0.0460107303278698,-0.0013645691475050491,True,True,True,1549.4499999999998,True,0,0,False,0,0,0,0.0,0,0.22289967535038402,1,Neutral (30–70),0,0,2025-05-16,2024-10-22,34.51
WIPRO,2025-12-17,259.0,262.13,258.31,261.14,4923276,255.12632515672152,250.6522329602161,254.692556576603,73.3091787439614,4.193698598796061,3.740254353313978,0.4534442454820824,3.6285714285714255,266.1711680937007,242.19283190629923,0.0943353037878429,263.07,243.61,0.6254446658468122,,,0,0,0,0,0,260.5266666666667,262.7433333333334,258.9233333333334,260.22,3.6285714285714255,271.1057142857143,249.33428571428576,249.33428571428576,254.182,,,,,1,0,0,0.05992761390499988,0.002650037673992605,True,True,True,253.34,False,0,0,False,0,0,0,0.0,0,-0.15516014234875453,0,Overbought (≥70),0,0,2024-06-10,2025-04-11,18.29
