Date,Symbol,Strategy,InstrumentToken,Qty,ENTRY_trigger_type,ENTRY_trigger_price,STOPLOSS_trigger_price,TARGET_trigger_price,R,ATR14,RSI14,RSI14_Status,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date,Notes,Explanation,DecisionConfidence,CI_low,CI_high,OOS_WinRate,OOS_ExpectancyR,Trades_OOS,CoverageNote,Confidence_Reason,Audit_Flag,Issues,Fix_Suggestion,Pivot_Source,Entry_Logic,Stop_Logic,Target_Logic,Latest_Close,Latest_LTP,Delta_vs_Pivot_pct,Canonical_Entry,Canonical_Stop,Canonical_Target,ATR_Used,Risk_Amount,Audit_Flag,Issues,Fix_Suggestion,Pivot_Source,Entry_Logic,Stop_Logic,Target_Logic,Latest_Close,Latest_LTP,Delta_vs_Pivot_pct,Canonical_Entry,Canonical_Stop,Canonical_Target,ATR_Used,Risk_Amount
2025-12-21,HINDALCO,CompositeScore,,39,BELOW,827.76,802.44,878.38,2.0,16.875,67.15,Neutral (30–70),0,0,2025-06-10,2025-06-02,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=827.76 (BELOW), Stop=802.44 (ATR×1.5), Target=878.38 (2R). RSI14=67.15 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 2.8% from canonical (852.00),Use canonical ENTRY=852.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (852.00),Stop 1.5x ATR below entry (ATR=16.88),Target 2.0R from entry (Risk=25.30),852.0,852.0,-2.8450704225352124,852.0,826.7,902.6,16.875000000000007,25.299999999999955,FAIL,ENTRY deviates 2.8% from canonical (852.00),Use canonical ENTRY=852.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (852.00),Stop 1.5x ATR below entry (ATR=16.88),Target 2.0R from entry (Risk=25.30),852.0,852.0,-2.8450704225352124,852.0,826.7,902.6,16.875000000000007,25.299999999999955
2025-12-21,DIVISLAB,CompositeScore,,5,BELOW,6408.34,6216.66,6791.7,2.0,127.786,54.01,Neutral (30–70),0,0,2025-10-10,2025-10-06,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=6408.34 (BELOW), Stop=6216.66 (ATR×1.5), Target=6791.70 (2R). RSI14=54.01 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (6478.50),Stop 1.5x ATR below entry (ATR=127.79),Target 2.0R from entry (Risk=191.70),6478.5,6478.5,-1.0829667361271875,6478.5,6286.8,6861.900000000001,127.78571428571428,191.69999999999985,PASS,,,Close,Entry at Close (6478.50),Stop 1.5x ATR below entry (ATR=127.79),Target 2.0R from entry (Risk=191.70),6478.5,6478.5,-1.0829667361271877,6478.5,6286.8,6861.900000000001,127.78571428571429,191.69999999999982
2025-12-21,UPL,CompositeScore,,41,BELOW,747.67,723.66,795.69,2.0,16.007,50.34,Neutral (30–70),0,0,2025-07-02,2025-06-10,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=747.67 (BELOW), Stop=723.66 (ATR×1.5), Target=795.69 (2R). RSI14=50.34 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (751.55),Stop 1.5x ATR below entry (ATR=16.01),Target 2.0R from entry (Risk=24.00),751.55,751.55,-0.5162663828088612,751.5500000000001,727.5500000000001,799.5500000000001,16.007142857142842,24.0,PASS,,,Close,Entry at Close (751.55),Stop 1.5x ATR below entry (ATR=16.01),Target 2.0R from entry (Risk=24.00),751.55,751.55,-0.5162663828088612,751.5500000000001,727.5500000000001,799.5500000000001,16.007142857142842,24.0
2025-12-21,WIPRO,CompositeScore,,175,BELOW,256.77,251.06,268.17,2.0,3.801,75.89,Overbought (≥70),0,0,,2025-02-24,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=256.77 (BELOW), Stop=251.06 (ATR×1.5), Target=268.17 (2R). RSI14=75.89 → Overbought (≥70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 2.9% from canonical (264.45),Use canonical ENTRY=264.45 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (264.45),Stop 1.5x ATR below entry (ATR=3.80),Target 2.0R from entry (Risk=5.70),264.45,264.45,-2.904140669313673,264.45,258.75,275.85,3.800714285714282,5.699999999999989,FAIL,ENTRY deviates 2.9% from canonical (264.45),Use canonical ENTRY=264.45 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (264.45),Stop 1.5x ATR below entry (ATR=3.80),Target 2.0R from entry (Risk=5.70),264.45,264.45,-2.904140669313673,264.45,258.75,275.85,3.800714285714282,5.699999999999989
2025-12-21,INFY,CompositeScore,,24,BELOW,1587.52,1547.4,1667.75,2.0,26.743,71.8,Overbought (≥70),0,0,2025-02-24,2025-02-28,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1587.52 (BELOW), Stop=1547.40 (ATR×1.5), Target=1667.75 (2R). RSI14=71.80 → Overbought (≥70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 3.1% from canonical (1638.70),Use canonical ENTRY=1638.70 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (1638.70),Stop 1.5x ATR below entry (ATR=26.74),Target 2.0R from entry (Risk=40.10),1638.7,1638.7,-3.1232074205162665,1638.7,1598.6,1718.9,26.742857142857183,40.09999999999991,FAIL,ENTRY deviates 3.1% from canonical (1638.70),Use canonical ENTRY=1638.70 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (1638.70),Stop 1.5x ATR below entry (ATR=26.74),Target 2.0R from entry (Risk=40.10),1638.7,1638.7,-3.1232074205162665,1638.7,1598.6000000000001,1718.9,26.742857142857183,40.09999999999991
2025-12-21,TECHM,CompositeScore,,26,BELOW,1552.87,1514.99,1628.64,2.0,25.257,74.27,Overbought (≥70),0,0,2025-06-18,2025-07-31,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1552.87 (BELOW), Stop=1514.99 (ATR×1.5), Target=1628.64 (2R). RSI14=74.27 → Overbought (≥70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 3.7% from canonical (1612.50),Use canonical ENTRY=1612.50 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (1612.50),Stop 1.5x ATR below entry (ATR=25.26),Target 2.0R from entry (Risk=37.90),1612.5,1612.5,-3.697984496124038,1612.5,1574.6,1688.3000000000002,25.257142857142885,37.89999999999986,FAIL,ENTRY deviates 3.7% from canonical (1612.50),Use canonical ENTRY=1612.50 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (1612.50),Stop 1.5x ATR below entry (ATR=25.26),Target 2.0R from entry (Risk=37.90),1612.5,1612.5,-3.697984496124038,1612.5,1574.6000000000001,1688.3000000000002,25.257142857142885,37.899999999999864
2025-12-21,TATAMOTORS,CompositeScore,,104,BELOW,357.76,348.16,376.96,2.0,6.4,33.96,Neutral (30–70),0,0,2025-05-15,2025-10-14,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=357.76 (BELOW), Stop=348.16 (ATR×1.5), Target=376.96 (2R). RSI14=33.96 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (352.65),Stop 1.5x ATR below entry (ATR=6.40),Target 2.0R from entry (Risk=9.60),352.65,352.65,1.449028782078552,352.65000000000003,343.05,371.85,6.400000000000001,9.600000000000025,PASS,,,Close,Entry at Close (352.65),Stop 1.5x ATR below entry (ATR=6.40),Target 2.0R from entry (Risk=9.60),352.65,352.65,1.4490287820785521,352.65000000000003,343.05,371.85,6.400000000000001,9.600000000000023
2025-12-21,ASIANPAINT,CompositeScore,,12,BELOW,2811.98,2731.69,2972.57,2.0,53.529,41.96,Neutral (30–70),0,0,2025-03-24,2025-02-24,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=2811.98 (BELOW), Stop=2731.69 (ATR×1.5), Target=2972.57 (2R). RSI14=41.96 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (2799.90),Stop 1.5x ATR below entry (ATR=53.53),Target 2.0R from entry (Risk=80.30),2799.9,2799.9,0.4314439801421453,2799.9,2719.6000000000004,2960.5,53.52857142857147,80.29999999999973,PASS,,,Close,Entry at Close (2799.90),Stop 1.5x ATR below entry (ATR=53.53),Target 2.0R from entry (Risk=80.30),2799.9,2799.9,0.43144398014214536,2799.9,2719.6000000000004,2960.5,53.52857142857147,80.29999999999973
2025-12-21,INDUSINDBK,CompositeScore,,34,BELOW,841.03,811.75,899.58,2.0,19.518,48.96,Neutral (30–70),0,0,,2025-02-28,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=841.03 (BELOW), Stop=811.75 (ATR×1.5), Target=899.58 (2R). RSI14=48.96 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (844.70),Stop 1.5x ATR below entry (ATR=19.52),Target 2.0R from entry (Risk=29.30),844.7,844.7,-0.4344737776725551,844.7,815.4000000000001,903.3,19.51785714285715,29.299999999999955,PASS,,,Close,Entry at Close (844.70),Stop 1.5x ATR below entry (ATR=19.52),Target 2.0R from entry (Risk=29.30),844.7,844.7,-0.4344737776725551,844.7,815.4000000000001,903.3000000000001,19.51785714285715,29.299999999999955
2025-12-21,MARUTI,CompositeScore,,3,BELOW,16199.14,15868.92,16859.57,2.0,220.143,58.77,Neutral (30–70),0,0,2025-05-23,2025-02-28,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=16199.14 (BELOW), Stop=15868.92 (ATR×1.5), Target=16859.57 (2R). RSI14=58.77 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (16414.00),Stop 1.5x ATR below entry (ATR=220.14),Target 2.0R from entry (Risk=330.20),16414.0,16414.0,-1.309004508346537,16414.0,16083.8,17074.4,220.1428571428572,330.1999999999989,PASS,,,Close,Entry at Close (16414.00),Stop 1.5x ATR below entry (ATR=220.14),Target 2.0R from entry (Risk=330.20),16414.0,16414.0,-1.309004508346537,16414.0,16083.800000000001,17074.4,220.14285714285714,330.1999999999989
2025-12-21,RELIANCE,CompositeScore,,31,BELOW,1541.4,1509.57,1605.07,2.0,21.221,49.57,Neutral (30–70),0,0,2025-03-12,,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1541.40 (BELOW), Stop=1509.57 (ATR×1.5), Target=1605.07 (2R). RSI14=49.57 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (1565.10),Stop 1.5x ATR below entry (ATR=21.22),Target 2.0R from entry (Risk=31.85),1565.1,1565.1,-1.5142802376844815,1565.1,1533.25,1628.8000000000002,21.221428571428586,31.850000000000136,PASS,,,Close,Entry at Close (1565.10),Stop 1.5x ATR below entry (ATR=21.22),Target 2.0R from entry (Risk=31.85),1565.1,1565.1,-1.5142802376844815,1565.1000000000001,1533.25,1628.8000000000002,21.221428571428582,31.850000000000136
2025-12-21,TCS,CompositeScore,,13,BELOW,3197.36,3123.37,3345.35,2.0,49.329,75.03,Overbought (≥70),0,0,,2025-02-24,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=3197.36 (BELOW), Stop=3123.37 (ATR×1.5), Target=3345.35 (2R). RSI14=75.03 → Overbought (≥70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 2.6% from canonical (3282.00),Use canonical ENTRY=3282.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (3282.00),Stop 1.5x ATR below entry (ATR=49.33),Target 2.0R from entry (Risk=74.00),3282.0,3282.0,-2.5789152955514894,3282.0,3208.0,3430.0,49.32857142857146,74.0,FAIL,ENTRY deviates 2.6% from canonical (3282.00),Use canonical ENTRY=3282.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (3282.00),Stop 1.5x ATR below entry (ATR=49.33),Target 2.0R from entry (Risk=74.00),3282.0,3282.0,-2.5789152955514894,3282.0,3208.0,3430.0,49.32857142857146,74.0
2025-12-21,BRITANNIA,CompositeScore,,5,BELOW,5950.59,5777.29,6297.2,2.0,115.536,67.22,Neutral (30–70),0,0,2025-04-02,2025-02-24,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=5950.59 (BELOW), Stop=5777.29 (ATR×1.5), Target=6297.20 (2R). RSI14=67.22 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 2.5% from canonical (6103.00),Use canonical ENTRY=6103.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (6103.00),Stop 1.5x ATR below entry (ATR=115.54),Target 2.0R from entry (Risk=173.30),6103.0,6103.0,-2.49729641160085,6103.0,5929.700000000001,6449.6,115.53571428571428,173.29999999999927,FAIL,ENTRY deviates 2.5% from canonical (6103.00),Use canonical ENTRY=6103.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (6103.00),Stop 1.5x ATR below entry (ATR=115.54),Target 2.0R from entry (Risk=173.30),6103.0,6103.0,-2.49729641160085,6103.0,5929.700000000001,6449.6,115.53571428571429,173.29999999999927
2025-12-21,HDFCLIFE,CompositeScore,,44,BELOW,764.73,742.2,809.78,2.0,15.018,49.83,Neutral (30–70),0,0,2025-03-05,2025-02-28,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=764.73 (BELOW), Stop=742.20 (ATR×1.5), Target=809.78 (2R). RSI14=49.83 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (766.45),Stop 1.5x ATR below entry (ATR=15.02),Target 2.0R from entry (Risk=22.55),766.45,766.45,-0.2244112466566673,766.45,743.9000000000001,811.5500000000001,15.017857142857135,22.549999999999955,PASS,,,Close,Entry at Close (766.45),Stop 1.5x ATR below entry (ATR=15.02),Target 2.0R from entry (Risk=22.55),766.45,766.45,-0.22441124665666737,766.45,743.9000000000001,811.5500000000001,15.017857142857135,22.549999999999955
2025-12-21,KOTAKBANK,CompositeScore,,21,BELOW,2147.58,2100.93,2240.88,2.0,31.1,53.94,Neutral (30–70),0,0,2025-10-13,2025-08-29,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=2147.58 (BELOW), Stop=2100.93 (ATR×1.5), Target=2240.88 (2R). RSI14=53.94 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (2159.50),Stop 1.5x ATR below entry (ATR=31.10),Target 2.0R from entry (Risk=46.65),2159.5,2159.5,-0.5519796249131778,2159.5,2112.85,2252.8,31.100000000000005,46.65000000000009,PASS,,,Close,Entry at Close (2159.50),Stop 1.5x ATR below entry (ATR=31.10),Target 2.0R from entry (Risk=46.65),2159.5,2159.5,-0.5519796249131778,2159.5,2112.85,2252.8,31.100000000000005,46.65000000000009
2025-12-21,HCLTECH,CompositeScore,,23,BELOW,1645.23,1603.1,1729.49,2.0,28.086,49.86,Neutral (30–70),0,0,2025-12-04,2025-07-28,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1645.23 (BELOW), Stop=1603.10 (ATR×1.5), Target=1729.49 (2R). RSI14=49.86 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (1642.40),Stop 1.5x ATR below entry (ATR=28.09),Target 2.0R from entry (Risk=42.15),1642.4,1642.4,0.1723088163662887,1642.4,1600.25,1726.7,28.08571428571429,42.15000000000009,PASS,,,Close,Entry at Close (1642.40),Stop 1.5x ATR below entry (ATR=28.09),Target 2.0R from entry (Risk=42.15),1642.4,1642.4,0.17230881636628878,1642.4,1600.25,1726.7,28.08571428571429,42.15000000000009
2025-12-21,TITAN,CompositeScore,,10,BELOW,3868.59,3775.65,4054.46,2.0,61.957,54.44,Neutral (30–70),0,0,2025-04-24,2025-02-28,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=3868.59 (BELOW), Stop=3775.65 (ATR×1.5), Target=4054.46 (2R). RSI14=54.44 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (3930.10),Stop 1.5x ATR below entry (ATR=61.96),Target 2.0R from entry (Risk=92.95),3930.1,3930.1,-1.5651001246787553,3930.1,3837.15,4116.0,61.95714285714286,92.95000000000029,PASS,,,Close,Entry at Close (3930.10),Stop 1.5x ATR below entry (ATR=61.96),Target 2.0R from entry (Risk=92.95),3930.1,3930.1,-1.5651001246787553,3930.1000000000004,3837.15,4116.0,61.95714285714286,92.95000000000027
2025-12-21,LT,CompositeScore,,11,BELOW,4030.39,3940.72,4209.72,2.0,59.779,50.04,Neutral (30–70),0,0,2025-03-24,2025-02-24,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=4030.39 (BELOW), Stop=3940.72 (ATR×1.5), Target=4209.72 (2R). RSI14=50.04 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (4073.50),Stop 1.5x ATR below entry (ATR=59.78),Target 2.0R from entry (Risk=89.65),4073.5,4073.5,-1.0583036700626027,4073.5,3983.85,4252.8,59.77857142857147,89.64999999999964,PASS,,,Close,Entry at Close (4073.50),Stop 1.5x ATR below entry (ATR=59.78),Target 2.0R from entry (Risk=89.65),4073.5,4073.5,-1.0583036700626027,4073.5,3983.8500000000004,4252.8,59.77857142857147,89.64999999999964
2025-12-21,GRASIM,CompositeScore,,16,BELOW,2781.03,2721.49,2900.11,2.0,39.693,71.18,Overbought (≥70),0,0,2025-03-19,2025-02-24,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=2781.03 (BELOW), Stop=2721.49 (ATR×1.5), Target=2900.11 (2R). RSI14=71.18 → Overbought (≥70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (2812.50),Stop 1.5x ATR below entry (ATR=39.69),Target 2.0R from entry (Risk=59.55),2812.5,2812.5,-1.1189333333333262,2812.5,2752.9500000000003,2931.6000000000004,39.69285714285717,59.54999999999973,PASS,,,Close,Entry at Close (2812.50),Stop 1.5x ATR below entry (ATR=39.69),Target 2.0R from entry (Risk=59.55),2812.5,2812.5,-1.1189333333333262,2812.5,2752.9500000000003,2931.6000000000004,39.692857142857164,59.54999999999973
2025-12-21,EICHERMOT,CompositeScore,,5,BELOW,7119.9,6939.36,7480.97,2.0,120.357,55.76,Neutral (30–70),0,0,2025-03-20,2025-02-24,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=7119.90 (BELOW), Stop=6939.36 (ATR×1.5), Target=7480.97 (2R). RSI14=55.76 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (7217.00),Stop 1.5x ATR below entry (ATR=120.36),Target 2.0R from entry (Risk=180.55),7217.0,7217.0,-1.345434391021205,7217.0,7036.450000000001,7578.1,120.35714285714286,180.54999999999927,PASS,,,Close,Entry at Close (7217.00),Stop 1.5x ATR below entry (ATR=120.36),Target 2.0R from entry (Risk=180.55),7217.0,7217.0,-1.345434391021205,7217.0,7036.450000000001,7578.1,120.35714285714286,180.54999999999927
2025-12-21,SBILIFE,CompositeScore,,19,BELOW,2008.51,1957.29,2110.94,2.0,34.143,66.14,Neutral (30–70),0,0,2025-04-01,2025-02-24,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=2008.51 (BELOW), Stop=1957.29 (ATR×1.5), Target=2110.94 (2R). RSI14=66.14 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (2028.40),Stop 1.5x ATR below entry (ATR=34.14),Target 2.0R from entry (Risk=51.20),2028.4,2028.4,-0.9805758233090168,2028.4,1977.2,2130.8,34.14285714285711,51.200000000000045,PASS,,,Close,Entry at Close (2028.40),Stop 1.5x ATR below entry (ATR=34.14),Target 2.0R from entry (Risk=51.20),2028.4,2028.4,-0.9805758233090169,2028.4,1977.2,2130.8,34.14285714285711,51.200000000000045
2025-12-21,BHARTIARTL,CompositeScore,,22,BELOW,2092.65,2047.43,2183.1,2.0,30.15,51.81,Neutral (30–70),0,0,,2025-02-24,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=2092.65 (BELOW), Stop=2047.43 (ATR×1.5), Target=2183.10 (2R). RSI14=51.81 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (2097.70),Stop 1.5x ATR below entry (ATR=30.15),Target 2.0R from entry (Risk=45.20),2097.7,2097.7,-0.2407398579396352,2097.7000000000003,2052.5,2188.1,30.15000000000006,45.20000000000027,PASS,,,Close,Entry at Close (2097.70),Stop 1.5x ATR below entry (ATR=30.15),Target 2.0R from entry (Risk=45.20),2097.7,2097.7,-0.2407398579396352,2097.7000000000003,2052.5,2188.1,30.15000000000006,45.20000000000027
2025-12-21,TATASTEEL,CompositeScore,,211,BELOW,168.94,164.22,178.38,2.0,3.146,50.11,Neutral (30–70),0,0,2025-02-27,,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=168.94 (BELOW), Stop=164.22 (ATR×1.5), Target=178.38 (2R). RSI14=50.11 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (168.69),Stop 1.5x ATR below entry (ATR=3.15),Target 2.0R from entry (Risk=4.70),168.69,168.69,0.1482008417807813,168.70000000000002,164.0,178.10000000000002,3.1457142857142872,4.700000000000017,PASS,,,Close,Entry at Close (168.69),Stop 1.5x ATR below entry (ATR=3.15),Target 2.0R from entry (Risk=4.70),168.69,168.69,0.14820084178078133,168.70000000000002,164.0,178.10000000000002,3.1457142857142872,4.700000000000017
2025-12-21,ICICIBANK,CompositeScore,,40,BELOW,1368.46,1343.81,1417.77,2.0,16.436,33.18,Neutral (30–70),0,0,2025-03-12,2025-02-28,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1368.46 (BELOW), Stop=1343.81 (ATR×1.5), Target=1417.77 (2R). RSI14=33.18 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (1354.10),Stop 1.5x ATR below entry (ATR=16.44),Target 2.0R from entry (Risk=24.65),1354.1,1354.1,1.0604829776235232,1354.1,1329.45,1403.4,16.435714285714294,24.65000000000009,PASS,,,Close,Entry at Close (1354.10),Stop 1.5x ATR below entry (ATR=16.44),Target 2.0R from entry (Risk=24.65),1354.1,1354.1,1.0604829776235232,1354.1000000000001,1329.45,1403.4,16.435714285714294,24.65000000000009
2025-12-21,BAJAJ-AUTO,CompositeScore,,4,BELOW,8980.55,8770.29,9401.09,2.0,140.179,45.17,Neutral (30–70),0,0,2025-08-20,2025-07-31,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=8980.55 (BELOW), Stop=8770.29 (ATR×1.5), Target=9401.09 (2R). RSI14=45.17 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (9002.00),Stop 1.5x ATR below entry (ATR=140.18),Target 2.0R from entry (Risk=210.25),9002.0,9002.0,-0.2382803821373109,9002.0,8791.75,9422.5,140.17857142857142,210.25,PASS,,,Close,Entry at Close (9002.00),Stop 1.5x ATR below entry (ATR=140.18),Target 2.0R from entry (Risk=210.25),9002.0,9002.0,-0.2382803821373109,9002.0,8791.75,9422.5,140.17857142857142,210.25
