Stock,Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,Histogram,ATR14,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_20_High,Donchian_20_Low,RVOL20,RS_vs_NIFTY,RS_ROC20,TrendContinuation_Flag,Breakout_Flag,VCP_Flag,SEPA_Flag,MeanReversion_Flag,Pivot,Pivot_R1,Pivot_S1,HL2,ATR_Super,Upper_Band,Lower_Band,Supertrend,CompositeScore,RS_Leader_Flag
ADANIPORTS,2025-12-22,1497.5,1515.0,1497.5,1508.7,1116833,1498.553667580036,1476.6815007303662,1394.3682964014854,47.10234278668315,6.1972581766892745,8.827003649429145,-2.62974547273987,23.55714285714287,1529.5696209152738,1478.300379084726,0.03409006494997975,1549.0,1460.9,0.692914817208634,,,1,0,0,1,0,1507.0666666666666,1516.6333333333332,1499.1333333333332,1506.25,23.55714285714287,1576.9214285714286,1435.5785714285714,1459.1357142857144,2,1
DIVISLAB,2025-12-22,6500.0,6543.0,6450.5,6511.5,255434,6418.165797738141,6414.519035443252,6216.418363548555,56.46492434662999,-13.31013455237462,-25.032609014684233,11.722474462309613,128.46428571428572,6560.12759772665,6264.52240227335,0.04609953417103774,6598.0,6265.0,1.1237297582894834,,,1,0,0,1,0,6501.666666666667,6552.833333333334,6460.333333333334,6496.75,128.46428571428572,6882.142857142857,6111.357142857143,6468.357142857143,2,0
HCLTECH,2025-12-22,1651.9,1673.5,1644.0,1670.3,1339691,1647.6204260960174,1601.64952516059,1584.5899037114575,58.72617853560681,20.76164804037012,26.07099997713013,-5.3093519367600095,28.242857142857133,1699.5480103671373,1605.5819896328624,0.056860710915622045,1695.4,1592.6,0.6246513647269262,,,1,0,0,1,0,1662.6000000000001,1681.2000000000003,1651.7000000000003,1658.75,28.242857142857133,1743.4785714285713,1574.0214285714287,1598.7857142857142,2,0
ICICINIFTY,2025-12-22,29.5,29.7,29.49,29.6,101411,29.448808925902,29.29478988987211,28.434333078997426,48.717948717948744,0.01527073250146671,0.031353042742374715,-0.016082310240908004,0.43214285714285744,29.788531599732604,29.2034684002674,0.019835340367005808,30.52,29.0,0.694283225191395,,,1,0,0,1,0,29.596666666666664,29.70333333333333,29.49333333333333,29.595,0.43214285714285744,30.89142857142857,28.298571428571428,28.561428571428575,2,0
SBIN,2025-12-22,981.1,983.0,972.55,974.3,5959037,966.8377881767257,943.5094286338007,863.49931857503,53.5,6.675771800694406,7.071795351396951,-0.39602355070254536,13.074999999999998,989.3296757258108,947.5403242741893,0.043151426220264175,999.0,944.45,0.6357650394932838,,,1,0,0,1,0,976.6166666666667,980.6833333333334,970.2333333333333,977.775,13.074999999999998,1017.0,938.55,952.475,2,0
SBILIFE,2025-12-22,2027.7,2031.1,2013.1,2022.3,526892,2009.8201527740898,1967.4364933042182,1820.1186541674247,61.84668989547036,15.466649303591566,17.935072725218546,-2.46842342162698,32.72142857142853,2053.4539179259937,1966.8960820740062,0.04305985093436513,2052.2,1951.2,0.7434139004566512,,,1,0,0,1,0,2022.1666666666667,2031.2333333333336,2013.2333333333336,2022.1,32.72142857142853,2120.2642857142855,1923.9357142857143,1950.9142857142856,2,0
NIFTYBEES,2025-12-22,295.25,295.73,293.85,295.69,9092048,293.4828117308649,291.493661142037,281.7875650761897,52.92447473026682,0.3681992179408553,0.5338952834344977,-0.16569606549364235,3.8314285714285785,297.39675913101183,290.74324086898815,0.022625627442526206,302.25,284.5,1.5900617537760402,,,1,0,0,1,0,295.09,296.3299999999999,294.44999999999993,294.79,3.8314285714285785,306.2842857142858,283.29571428571427,289.2157142857143,2,0
NESTLEIND,2025-12-22,1246.0,1259.9,1240.0,1257.2,880387,1243.552956252157,1241.0826643488283,1206.8933159094258,49.343629343629324,-3.785833650384575,-5.503930474470444,1.718096824085869,19.800000000000036,1281.2376333067075,1205.2823666932925,0.061093630144470994,1282.7,1205.0,1.1114869848747038,,,1,0,0,1,0,1252.3666666666668,1264.7333333333336,1244.8333333333335,1249.95,19.800000000000036,1309.3500000000001,1190.55,1231.9285714285716,2,0
TITAN,2025-12-22,3940.0,3950.8,3917.1,3933.8,569521,3874.7979202767046,3798.353451815812,3596.8515053645165,56.1381074168798,32.46423903536834,29.09132835313278,3.372910682235556,62.071428571428605,3967.103489645745,3777.846510354255,0.04887235664310037,3961.9,3751.0,0.8568649048448621,,,1,0,0,1,0,3933.9,3950.7000000000003,3917.0,3933.95,62.071428571428605,4120.164285714286,3747.735714285714,3751.578571428571,2,0
UPL,2025-12-22,753.05,779.0,752.1,776.55,3673981,750.4202575727923,735.7272502130894,684.1925838176144,61.996779388083716,5.554710166895006,5.322301873969157,0.2324082929258493,16.992857142857133,770.9225516253692,731.9524483746308,0.05186073791997135,779.0,729.6,1.587039170674872,,,0,1,0,1,0,769.2166666666666,786.3333333333331,759.4333333333332,765.55,16.992857142857133,816.5285714285714,714.5714285714286,719.4714285714285,2,0
TATACONSUM,2025-12-22,1184.0,1188.7,1174.1,1178.8,670307,1164.7604833043865,1155.9798831889532,1113.0555245506212,56.12998522895119,3.582616293416322,0.62423923613728,2.958377057279042,20.564285714285752,1193.892337025067,1131.687662974933,0.053496051780746436,1194.0,1131.9,0.8307966392687182,,,1,0,0,1,0,1180.5333333333335,1186.9666666666672,1172.366666666667,1181.4,20.564285714285752,1243.0928571428574,1119.7071428571428,1119.7071428571428,2,0
SETFNIF50,2025-12-22,277.54,279.49,277.5,279.38,1180346,277.4628797959665,275.5806298725945,266.40076153568214,52.795031055900566,0.3368165741289886,0.5094575829087914,-0.17264100877980282,4.97214285714285,281.134503125362,274.92049687463805,0.02235032955633514,285.47,271.54,1.7729590792568042,,,1,0,0,1,0,278.79,280.08000000000004,278.09000000000003,278.495,4.97214285714285,293.41142857142853,263.5785714285715,271.20071428571424,2,0
LT,2025-12-22,4081.0,4098.5,4068.5,4072.4,764774,4034.3897028636698,3958.6488605128616,3726.711732318296,55.88979477087434,26.99949288840935,28.362415191744276,-1.3629223033349263,57.2928571428572,4113.908559583161,3964.3014404168403,0.03703967071079382,4140.0,3949.1,0.552396654506256,,,1,0,0,1,0,4079.7999999999997,4091.0999999999995,4061.0999999999995,4083.5,57.2928571428572,4255.378571428571,3911.6214285714286,3932.9357142857143,2,0
KOTAKBANK,2025-12-22,2170.0,2176.0,2147.1,2149.7,1808226,2147.781791726911,2124.788357262564,2060.9271717620054,52.34425176621699,14.413808601414985,14.313869833515941,0.09993876789904377,31.69285714285716,2203.0552224389344,2086.044777561066,0.054561770477661226,2205.0,2066.7,0.6575087413097563,,,1,0,0,1,0,2157.6,2168.1,2139.2,2161.55,31.69285714285716,2256.628571428572,2066.4714285714285,2113.678571428571,2,0
KOTAKNIFTY,2025-12-22,286.33,288.81,286.33,288.57,221281,286.0910150107774,283.9837092785625,274.41779692297416,54.14847161572049,0.49850890029927086,0.6132585029931551,-0.11474960269388423,2.820000000000001,289.84372968329046,283.3642703167095,0.022607707382245032,295.8,282.64,1.087792061975552,,,1,0,0,1,0,287.90333333333336,289.47666666666674,286.9966666666667,287.57,2.820000000000001,296.03,279.11,283.26571428571424,2,0
BAJAJ-AUTO,2025-12-22,9010.0,9185.0,8997.5,9164.0,377385,8998.025278105348,8957.827424431453,8781.676187581521,53.48733896046202,9.892825354361776,10.442607152008023,-0.5497817976462471,142.57142857142858,9193.948054143473,8863.101945856526,0.03664453587789225,9254.5,8735.0,1.06997743431668,,,0,0,0,1,0,9115.5,9233.5,9046.0,9091.25,142.57142857142858,9518.964285714286,8663.535714285714,8720.92857142857,1,1
HDFCLIFE,2025-12-22,766.0,769.05,759.95,761.8,767829,764.4496074583673,762.7236067845997,742.3453244492091,51.64705882352938,0.4006346144216195,1.5567011338912873,-1.1560665194696678,14.753571428571417,783.8872008040921,749.0627991959079,0.04543449115520296,788.5,745.2,0.38846106776011785,,,1,0,0,0,0,763.6,767.25,758.1500000000001,764.5,14.753571428571417,808.7607142857142,720.2392857142858,766.3071428571427,1,0
HEROMOTOCO,2025-12-22,5793.5,5793.5,5681.0,5699.5,1213460,5919.662529040487,5775.221381785641,5099.080780398077,20.92668024439918,-8.811384138143694,59.56008416821631,-68.37146830636,135.35714285714286,6446.304891697278,5655.345108302721,0.13071932891705795,6388.5,5513.0,1.6757264983349551,,,0,0,0,0,1,5724.666666666667,5768.333333333334,5655.833333333334,5737.25,135.35714285714286,6143.321428571428,5331.178571428572,6014.071428571428,1,0
BRITANNIA,2025-12-22,6102.5,6102.5,6066.0,6083.0,206588,5963.204473071701,5923.928526550291,5708.570935245627,62.99311208515968,49.73030950746943,23.19350594106654,26.536803566402888,110.89285714285714,6133.72020655338,5718.27979344662,0.07010469340309827,6145.0,5780.0,0.9090629067588749,,,0,0,0,1,0,6083.833333333333,6101.666666666666,6065.166666666666,6084.25,110.89285714285714,6416.928571428572,5751.571428571428,5823.892857142857,1,1
ASIANPAINT,2025-12-22,2785.8,2823.1,2780.3,2807.6,463953,2811.566678918107,2731.79774800239,2566.4128159135703,28.52545348156815,10.037473136861081,30.023711684978643,-19.986238548117562,49.38571428571429,2994.049337991153,2706.1006620088465,0.10103196441578088,2985.7,2746.0,0.4124432144173463,,,0,0,0,0,1,2803.6666666666665,2827.033333333333,2784.233333333333,2801.7,49.38571428571429,2949.8571428571427,2653.542857142857,2823.0642857142857,1,1
WIPRO,2025-12-22,267.51,273.1,266.8,272.67,14651313,258.2806612946715,252.51330710268104,255.16653013803398,81.70800450958296,5.206051196078306,4.234612596339806,0.9714385997384998,4.234285714285714,270.47540266365064,244.18359733634938,0.10217174994433698,273.1,244.0,1.8098105074629403,,,0,1,0,0,0,270.85666666666674,274.91333333333347,268.61333333333346,269.95000000000005,4.234285714285714,282.6528571428572,257.2471428571429,257.2471428571429,1,0
EICHERMOT,2025-12-22,7238.0,7310.0,7213.0,7291.5,233966,7136.2394543328,6998.210578015578,6225.042491253987,60.455607476635514,55.431517086487474,55.426855218865136,0.004661867622338889,119.82142857142857,7303.568500265817,6997.231499734182,0.04284193898685886,7328.5,6956.0,0.5183147890717161,,,0,0,0,1,0,7271.5,7330.0,7233.0,7261.5,119.82142857142857,7620.964285714285,6902.035714285715,6902.035714285715,1,0
GRASIM,2025-12-22,2812.7,2858.0,2798.1,2809.7,796031,2783.764208002808,2784.725329347761,2728.856920393815,69.60629921259837,10.369693663488306,1.6326660376611855,8.737027625827121,42.25714285714288,2848.2405744369935,2681.9994255630063,0.06012077192815762,2858.0,2680.0,1.689905500598025,,,0,0,1,0,0,2821.933333333333,2845.766666666666,2785.866666666666,2828.05,42.25714285714288,2954.821428571429,2701.2785714285715,2810.807142857143,1,0
HDFCBANK,2025-12-22,988.0,992.9,983.9,987.7,13540411,993.0853807220951,991.3689663582995,961.4045011174657,48.60186418109194,-1.983846302436291,0.06504289261677398,-2.0488891950530648,11.700000000000005,1012.6733984152302,979.6066015847698,0.0331949292573939,1017.5,973.3,0.7882189204264296,,,1,0,0,0,0,988.1666666666666,992.4333333333333,983.4333333333333,988.4,11.700000000000005,1023.5,953.3,972.6285714285715,1,0
NIFTY,2025-12-22,26055.85,26180.7,26047.8,26172.4,0,25956.879028727577,25790.511444557702,25019.538049301987,54.51587966243639,32.19379130516245,42.72489974705816,-10.53110844189571,195.91071428571453,26304.218065480236,25704.456934519767,0.023063888128681185,26325.8,25693.25,,,,0,0,0,1,0,26133.63333333333,26219.466666666664,26086.566666666662,26114.25,195.91071428571453,26701.982142857145,25526.517857142855,25641.85357142857,1,0
